"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"215";2,342;2,205;6,443;0,57;2,421;11,732;0,963;56,918;0;0,875;10,717;0;4,814
"216";0,617;18,692;1,016;0,169;6,725;8,064;0,521;55,584;0;0,167;8,333;0;0,111
"217";0,121;0,631;0,325;0,102;23,183;0,899;0,282;71,053;0;0,492;2,703;0;0,209
"218";0,438;1,391;0,536;0,398;4,066;13,903;14,287;56,764;0;0,438;3,435;0;4,345
"219";0,065;3,949;0,491;0,198;0,978;2,012;1,202;87,761;0;0,501;1,775;0;1,067
"220";6,36;3,96;2,426;0,156;4,218;3,814;0,69;68,298;0;0,661;6,451;0;2,966
"221";0,251;5,148;0,416;0,135;0,913;1,27;0,422;89,252;0;0,34;1,501;0;0,353
"222";0,815;15,045;9,845;2,229;3,17;8,058;3,873;39,192;0;0,46;14,534;0;2,779
"223";2,614;2,58;1,366;0,199;5,79;17,206;0,931;59,845;0;0,152;6,628;0;2,688
"224";0,191;1,052;0,539;0,148;1,635;6,612;0,947;85,468;0;0,333;1,733;0;1,343
"225";0,8;24,173;0,592;0,112;2,003;1,753;8,087;55,771;0;0,271;5,254;0;1,184
"226";0,092;2,378;0,553;0,12;7,461;1,837;1,158;84,189;0;0,527;1,402;0;0,282
"227";0,413;0,445;2,265;0,036;0,571;0,597;0,13;94,291;0;0,005;0,95;0;0,298
"228";0,391;1,598;0,661;0,186;5,824;56,319;2,692;28,622;0;0,28;3,021;0;0,406
"229";0,578;5,973;1,706;2,46;7,131;7,712;3,49;45,223;0;2,078;22,943;0;0,706
"230";0,678;3,556;0,984;0,944;2,709;3,455;7,032;63,583;0;0,384;15,565;0;1,11
"231";0,033;0,356;0,108;0,072;84,908;3,181;0,092;8,675;0;0,02;2,488;0;0,066
"232";0,305;2,037;1,207;0,712;5,897;16,826;0,606;62,55;0;3,283;5,334;0;1,244
"233";0,347;0,483;0,302;0,093;0,585;16,117;0,589;78,626;0;0,062;2,603;0;0,196
"234";0,145;1,82;0,321;0,474;2,217;79,756;0,612;11,65;0;0,039;2,737;0;0,23
"235";0,202;3,009;0,95;1,047;2,015;23,452;1,351;60,835;0;0,932;4,583;0;1,626
"236";0,079;0,494;0,209;0,189;0,63;1,734;0,35;93,576;0;0,052;2,565;0;0,122
"237";6,405;3,368;4,971;0,295;5,276;6,49;1,569;64,944;0;0,488;5,063;0;1,132
"238";0,299;1,655;0,624;0,175;19,243;2,738;0,635;70,224;0;0,961;2,128;0;1,318
